"subject","sex","birthYear"
"1","Female",1985
"2","Male",1991
"3","Female",1988
"4","Male",1990
"5","Female",1983
"6","Male",1991
"7","Female",1989
"8","Male",1990
"9","Male",1988
"10","Male",1982
"11","Male",1999
"12","Female",1983
"13","Male",1979
"14","Female",1993
"15","Male",1999
"16","Male",1985
"17","Female",1991
"18","Male",1986
"19","Male",NA
"20","Male",1976
"21","Male",1988
"22","Female",1991
"23","Male",1987
"24","Male",1993
"25","Male",1987
"26","Female",1991
"27","Female",1971
"28","Female",1996
"29","Male",1970
"30","Male",1991
"31","Male",1980
"32","Male",1981
"33","Female",1985
"34","Male",1990
"35","Female",1992
"36","Male",1993
"37","Male",1988
"38","Female",1975
"39","Male",1994
"40","Male",2000
"41","Female",1990
"42","Male",1990
"43","Male",1983
